id,transaction_type,transaction_id,transaction_time,transaction_amount,business_short_code,bill_ref_number,invoice_number,org_account_balance,third_party_tansaaction_id,msisdn,first_name,middle_name,last_name
789,Pay Bill,186241ADDE,20250325094943,482,107031,78536,,1326,5ac2ba2beeba4081953760957082883e,3857003579528,Dawn,Dustin,Wilson
790,Buy Goods,3A9A3718EF,20250131212951,441,107031,84155,,1266,fd36a671fd2c4cd4bd82088717714710,2170710120869,Keith,,Esparza
791,Pay Bill,D610FF2262,20250125201656,426,107031,63683,,1750,,3056327796067,Jose,Cassandra,Cobb
792,Buy Goods,5EBD6DC132,20250302102119,691,107031,41653,,2638,d41aa9feda7c4246af4e39d990a1ab38,6658988783392,Amanda,Tracy,Humphrey
793,Pay Bill,FD07997E21,20250119103137,476,107031,83594,,2989,0ba107df76454fcfa7e4be6eb2ab0b4e,9899740938044,Steve,Michael,Ali
794,Pay Bill,77B9266D48,20250314082434,913,107031,,,4392,07abbef08669491e9953a13c8f1436b8,5364866410115,Lisa,Robert,Griffith
795,Buy Goods,6F300B2AAA,20250105181957,84,107031,55983,,4589,6197633db7bc48edbd07cb5d638130bb,8502309556946,Reginald,Karen,Dunn
796,Pay Bill,A22E5A1041,20250123104320,458,107031,28327,,2069,e8446a9228fc4a8282543d0686766d99,7675667210139,Rachel,,Jackson
797,Buy Goods,8CE41BE13C,20250124183115,205,107031,45699,,3408,7d61ae4bb53e4bd0884210909445dda7,9960016016079,Danielle,Paul,Cortez
798,Pay Bill,858FC5AD7F,20250221205156,75,107031,47983,,3175,bcade9840696447888e5f4202920ad30,3868315518393,Karen,Roberto,Rangel
799,Buy Goods,06518F4FD8,20250226090401,487,107031,26093,,1163,d353ee99eb1e405388514f69d16e7fcb,7746294539516,Todd,Victor,Jones
800,Buy Goods,8BC3265093,20250110200001,686,107031,16107,,2415,,8702425380496,Phillip,,Liu
801,Buy Goods,C1A2D631F9,20250126084413,661,107031,27312,,4518,7177b7c9dfd546519e84b0880b9e420c,3375585400232,Donna,David,Smith
802,Buy Goods,A75A550DEE,20250224210056,812,107031,41465,,2629,5f5824af94124384bd500063dbebf4ab,0469133739001,Katherine,Ryan,Johnson
803,Buy Goods,36530C2108,20250311100819,827,107031,17224,,3020,360a563583c74104b210e4a442ecdb25,2869932187643,Justin,,King
804,Pay Bill,4D6D40E985,20250130103520,429,107031,51802,,4013,3706aa4dcbd74f79a21daeb1a9342837,8522326227307,Kevin,,Nichols
805,Pay Bill,3142DC4DFF,20250129095232,36892,107031,56017,,1275,bef96ea49b8744c981b3cbfa2b1c62e9,8987251181296,Edwin,Priscilla,Lewis
806,Pay Bill,6A35383AD1,20250224101159,549,107031,92086,,4868,7e80971328cf4c2295b6c9217d968437,9403395938138,Lynn,Ashley,Perez
807,Buy Goods,753689160E,20250415182421,972,107031,85125,,3759,02e290d378454b62b9cc80a8042d7084,7914489066083,Denise,Donald,Hernandez
808,Buy Goods,A477DE4167,20250324085933,125,107031,36119,,1881,,6301278802105,Jose,Karl,Sanders
809,Buy Goods,01E0092998,20250223085014,271,107031,14008,,2762,341f3d5f69064be397aa9f28de5c9984,7675667210139,Rachel,,Jackson
810,Pay Bill,6106505AA3,20250127214004,921,107031,67549,,1855,dea889a6ea964bf58543536adf94c336,2059798017379,Emily,Rodney,Kelley
811,Pay Bill,2A4E77D259,20250109200802,487,107031,95050,,1515,,9960016016079,Danielle,Paul,Cortez
812,Pay Bill,AA6EEC56A2,20250119202816,607,107031,97903,,1390,7d6fd87b6dc3495f9bbaeda9a101f5e0,4439340999387,Tyler,Kelly,Barnes
813,Pay Bill,C5E95EEE03,20250227092349,408,107031,49476,,1661,74f90d1767b84dad9ada6c4912cf2497,6849777461451,Jennifer,Debra,Perry
814,Buy Goods,6B83AE3793,20250312182246,145,107031,56808,,1572,85af65d9f608447c96a87cf0568903f7,9960016016079,Danielle,Paul,Cortez
815,Buy Goods,7B58A784C5,20250303183444,782,107031,74649,,1030,e9ce203d2e674c5cbba684ca6f2aa565,3868315518393,Karen,Roberto,Rangel
816,Pay Bill,2B6300AB58,20250321181331,791,107031,36348,,2771,23ab3013e6a54100abccb1929dc89201,9960016016079,Danielle,Paul,Cortez
817,Buy Goods,B055F7ADEF,20250306095314,335,107031,89450,,4127,af8ef629dcc446f98b0d2cb03432cd1e,0203753544868,Crystal,Jenna,Garrett
818,Pay Bill,2D742515D7,20250228182641,291,107031,90006,,2722,0d28350c16b948ad84aa4dac8866e18f,2041481671166,Elizabeth,Andrew,Kennedy
819,Buy Goods,687C3CF8F4,20250401181850,833,107031,49239,,1408,ebc0043ceeed4fc2802f82fdc8e19f1e,3833621635871,Tammy,Tyler,Wagner
820,Pay Bill,B7FB9BD2E9,20250209181323,813,107031,95967,,4375,22bdd2fee07d4c5cbec6bae35771ca87,6027078290841,Gabrielle,,Thomas
821,Buy Goods,A73695AB33,20250319091259,888,107031,75362,,1560,3139442182a64ca0a820275c3087a1a9,7815903340345,William,Dennis,Davis
822,Pay Bill,85C719E24E,20250301202022,472,107031,55334,,2761,2c3ae9659aef4ae7aa15a66d3e619396,0297473609209,Jennifer,,Knight
823,Buy Goods,EA0845907C,20250126215602,894,107031,71718,,3288,b517b1fdfb2c4cc3b66ad3a631296674,1937818164359,David,Cassandra,Levy
824,Buy Goods,53648C59AA,20250118212102,782,107031,,,2910,c6ce73a65a0b47448d8ef4f587018cb2,6269044287840,Veronica,,Stevenson
825,Pay Bill,DD284327FA,20250211191736,474,107031,90540,,1703,5c5a25eb303042a7813aa7a9f99ba3ae,8859892402682,Christian,,Rodgers
826,Pay Bill,8152EBAC9C,20250222212859,188,107031,72357,,1302,dba8faa75b664b9186a606bdfaec4bce,4163098290266,Todd,Nicholas,Pennington
827,Pay Bill,0841B85215,20250121214403,716,107031,,,4352,d2ac9bde45da40098244a865526d652d,8340086301550,James,Benjamin,Sparks
828,Buy Goods,D084CFACA8,20250206100537,88,107031,24400,,1734,590c22b43d5445f5ad388eee684a18cf,2643199868375,Erica,Angela,Dorsey
829,Buy Goods,8F1EFA6111,20250408085319,130,107031,88207,,4664,dcb8d9ab802c4947a73831482d4b2f33,8340086301550,James,Benjamin,Sparks
830,Buy Goods,D6F8AA88AF,20250303185531,796,107031,29241,,4310,9eec385922e94b5d8df478210995be73,7086751366701,Tony,Roy,Williams
831,Pay Bill,EE0762CEE0,20250306085906,204,107031,86167,,4294,14ebcf2b85fc4707bd86b52415acd7d9,3868315518393,Karen,Roberto,Rangel
832,Pay Bill,15570D2CAE,20250220103510,573,107031,45680,,1367,5c3a6fd9bb804b17b9c2050259538da0,6562666434329,Preston,,Chase
833,Pay Bill,D1A5F49889,20250404205949,422,107031,,,1843,8726d26afde84dac867076f3bf40e732,4400366341691,Jared,James,Thomas
834,Buy Goods,53DD2613AF,20250413180546,838,107031,43397,,1380,90b5a2d59fc44529b5647ae54c55977e,9960016016079,Danielle,Paul,Cortez
835,Pay Bill,44146933DE,20250312102931,766,107031,90532,,3726,b99c767dfd4f427395f9e1f87f999478,3857003579528,Dawn,Dustin,Wilson
836,Pay Bill,A3ADE0797A,20250408081146,130,107031,64643,,1835,e14d011f86aa4521a0222c7892f7c451,7265811922018,Lance,Danielle,Haney
837,Buy Goods,E9A0CFAEBF,20250117103538,917,107031,21251,,3349,cfd8b546ea3848d9a65ba781b1a9d9ea,7675667210139,Rachel,,Jackson
838,Buy Goods,0916C0D2C1,20250325190924,699,107031,,,3928,4187321e013a4b7a8cfda5917b3c3c87,9039034600570,Jon,Veronica,Zimmerman
839,Buy Goods,AC0D55BBED,20250307210408,361,107031,,,2973,1c3e9dc784934cdbbfe9aa861e69343d,2726082454317,Paula,Keith,Lee
840,Buy Goods,D9740BFA0D,20250328195138,49,107031,93655,,3895,78f5bf65412645959121b07103de4ebb,2059798017379,Emily,Rodney,Kelley
841,Pay Bill,51E5A50301,20250326185701,565,107031,19406,,4037,e594068fd7dd4c15aea6b3151b1950a2,2795254874174,Madison,Sarah,Brown
842,Buy Goods,0BE4BEF4C7,20250118212009,288,107031,22286,,4714,,2708377637184,Gary,Ryan,Wu
843,Pay Bill,F10727769E,20250303081346,781,107031,94529,,1253,792de530ea9042149cb991390b9cb045,6940708704280,Patricia,Alan,Jones
844,Buy Goods,882A3F2CFA,20250103185101,255,107031,62448,,3864,6686d697ed594560934dd5ad6d836f76,2427556257316,Stephen,,Zimmerman
845,Pay Bill,D779839D0C,20250209091225,273,107031,51614,,4995,406e870fe31246f491da653e7f6e1f92,6813004782716,Mandy,James,Johnson
846,Buy Goods,8BEB4E976E,20250301203123,24,107031,23528,,3959,6d65e81663354db6af6f0948504be51d,3868315518393,Karen,Roberto,Rangel
847,Pay Bill,7A5D469211,20250228190013,980,107031,,,3240,142248b12702439ebb55e3bcf40f3d04,2059798017379,Emily,Rodney,Kelley
848,Buy Goods,FDF3B1902C,20250305083654,245,107031,90748,,2009,bea992848be74212a37ba5eb4c383bcd,7622602341469,Susan,Zachary,Brown
849,Pay Bill,90659C311F,20250101190537,27,107031,33181,,2522,,5531327274841,Travis,Rebecca,Chavez
850,Buy Goods,0AF9F5523A,20250304091619,994,107031,,,4295,4581525133b0406c82172e4e5827adcf,2059798017379,Emily,Rodney,Kelley
851,Buy Goods,01C1411204,20250330195719,185,107031,,,3795,16ee463db5d74703978350aa16c16ff9,9034744942780,Laura,Julie,Wolfe
852,Pay Bill,016052E381,20250105085454,615,107031,44394,,4337,2d985800103e48efac37da23647748d6,2059798017379,Emily,Rodney,Kelley
853,Pay Bill,C57F237032,20250221085541,74,107031,86356,,2605,b0b93f019a5943aca301e70668313c5e,2059798017379,Emily,Rodney,Kelley
854,Buy Goods,DF45BBB915,20250105205108,949,107031,94601,,4744,,5329491495488,Jacqueline,Gary,Calderon
855,Buy Goods,9C5BD93F3E,20250413215030,573,107031,55538,,1434,b3a288e8b4cb4d10936d62c5b595f146,6269044287840,Veronica,,Stevenson
856,Pay Bill,2ABFABA470,20250126182024,939,107031,43419,,2404,cdc23db9dc694b819d71eb07dbc33f60,2059798017379,Emily,Rodney,Kelley
857,Buy Goods,F7C8651D7A,20250304215215,831,107031,90372,,1431,5eaf4a6e7c744575a6af5d6a34e3182b,4296109667540,Wayne,,Flores
858,Pay Bill,6D972F5DFF,20250407191013,758,107031,40352,,3873,fb964153b1f144d9874ee91c6a765733,9523440425725,Mary,,Fischer
859,Buy Goods,BB84096A88,20250325203929,327,107031,94536,,4570,be799d96abe2428dbccc4cf5065dbb55,7675667210139,Rachel,,Jackson
860,Pay Bill,1D3D740CC3,20250314103308,695,107031,54748,,3695,2fa272e6ccc445938a604022dfe01f6d,8350312895904,Rachel,,Johnson
861,Pay Bill,2F80AA112E,20250107210353,249,107031,56027,,2873,98083758eea1439a9ef430ac3f9e7c38,9570058144586,Jonathan,Robert,Greer
862,Buy Goods,E25CFCAAA1,20250112091417,205,107031,26907,,1084,,7622602341469,Susan,Zachary,Brown
863,Buy Goods,CD6C676D24,20250307191212,519,107031,19029,,1580,3597416ca5d0462994cee50584e6d0b0,7675667210139,Rachel,,Jackson
864,Buy Goods,0E40105002,20250327200002,983,107031,98276,,2677,aae654bf0f2749a3b7c525e1a490be36,0297473609209,Jennifer,,Knight
865,Pay Bill,8B88F3B6A2,20250312104832,114,107031,92117,,2582,c7a42bf2af8a4766866c84b748406a45,2059798017379,Emily,Rodney,Kelley
866,Pay Bill,F2FA3052EB,20250303093121,685,107031,32296,,1884,3e01995901e64d499be186c1a35ff159,3868315518393,Karen,Roberto,Rangel
867,Pay Bill,B2AF6F7471,20250327080805,133,107031,28444,,4494,578a78cb7052420490c6c5608201c36b,1101238130478,Eric,Jason,Gonzalez
868,Pay Bill,E845320B44,20250110202255,495,107031,40849,,1476,aab3fd6b40d14c99a5a74cf0932860e6,8370748155190,Gregory,Brian,Hall
869,Pay Bill,7D56CE7F5C,20250302100909,123,107031,53297,,3463,,7815903340345,William,Dennis,Davis
870,Buy Goods,D82237DEAB,20250214210242,818,107031,,,4073,512034538a3b439fa7851bfdd5ad2373,3857003579528,Dawn,Dustin,Wilson
871,Pay Bill,ECBFC3FCD6,20250313195504,10333,107031,89617,,3407,bffc90b01cef4647b88816001e30f9c1,5945015889888,Melissa,,Larsen
872,Pay Bill,B37DAAEFE7,20250321215009,901,107031,16792,,1528,df7e89657d43470ab1920160ba656b3d,6241684004900,Jeremy,Kevin,Baker
873,Buy Goods,54B846E96A,20250212102856,347,107031,43422,,3827,,2708377637184,Gary,Ryan,Wu
874,Pay Bill,36ADCB215D,20250121104213,461,107031,42593,,2125,37d3232a8bf94505938afe10a506b26b,7675667210139,Rachel,,Jackson
875,Buy Goods,FC05FF7DD7,20250321210631,766,107031,82845,,2033,5e160164d2da4b0ab73faff673828f74,4291656732010,Thomas,,Walker
876,Pay Bill,7162AAB1A3,20250210102814,92,107031,,,2107,250953387794488491563469632ab35e,9960016016079,Danielle,Paul,Cortez
877,Buy Goods,64E35A1074,20250103102746,719,107031,60805,,3967,3709944b714e490b89163d6d24e765cf,8056489512467,Tammy,,Smith
878,Buy Goods,462EE411E6,20250324091151,219,107031,86084,,1477,3045bbd2fef6455194ec4c37f22910b6,8838347757954,Richard,Ricky,Jackson
879,Pay Bill,E17D394DE0,20250220101928,317,107031,96586,,3139,b022a36708b9404cb199142a28c917bc,3868315518393,Karen,Roberto,Rangel
880,Pay Bill,E98403FF57,20250302105718,122,107031,,,4862,054a8f066340426692e816c2345dfdeb,3868315518393,Karen,Roberto,Rangel
881,Pay Bill,660D3B830E,20250218202218,831,107031,24207,,4219,5c5528890ccf493589f8b9c0994b27e6,1467305552759,Shirley,,Rangel
882,Pay Bill,6741F10571,20250222193417,427,107031,49062,,4988,8f554670dc52426b84e77a35794bc8f8,4199141849604,Timothy,,Bush
883,Buy Goods,FB5B8E52AB,20250119184903,580,107031,45933,,2862,8115616e29014458a9f2102e7a1157e1,1308049834651,Daisy,Kyle,Robinson
884,Buy Goods,AA14E83419,20250124080528,73,107031,10496,,3482,c85aae8e91234ead8fd638e5c32ca95e,9960016016079,Danielle,Paul,Cortez
885,Pay Bill,B601D578DF,20250223201647,486,107031,63282,,4586,07032b5e1e3c4543a6b34d49958cdb1a,9960016016079,Danielle,Paul,Cortez
886,Pay Bill,7D2FD8EB80,20250103084241,855,107031,85312,,4775,d676a968428f447bb1dc5851a0db3e66,0539114309116,Amy,Cody,Baker
887,Pay Bill,68839AFA49,20250203191514,264,107031,10013,,2981,9e198f4cbc464bc5b762f1401fee6f61,0870654206025,Michael,,Grant
888,Buy Goods,377B0A6269,20250302091527,213,107031,15613,,4183,3fc5f8fb63fd454c9238d54ee1b6710d,4059056356751,Jason,Timothy,Santiago
889,Buy Goods,77F3EE087A,20250326101926,885,107031,41845,,4034,36d96c0dfd204eddad29d4aa49818999,8750811870990,William,,Henderson
890,Buy Goods,01B1C3B835,20250310100718,81,107031,86762,,3455,e00e976f1d604d37a5e2592ea479d0a9,9523440425725,Mary,,Fischer
891,Pay Bill,AC2152E262,20250208094058,470,107031,26729,,3331,dfae337c42e549198aeedba3646a4966,1799223258619,Charles,Lawrence,Rogers
892,Pay Bill,148AACD449,20250218213636,136,107031,26445,,4593,bd0e631ff4b44394967b50cf6c9d2b47,6294368149797,Ryan,Michael,Hernandez
893,Buy Goods,287A93B343,20250321090442,968,107031,90406,,2735,7fa4820213b241e3b5b3e31a86f39c0d,7675667210139,Rachel,,Jackson
894,Pay Bill,903B0591AE,20250313080120,723,107031,17806,,4161,64ae102a99b143118eda5c93c72474fd,4384281266436,Brandon,Matthew,Lloyd
895,Buy Goods,15778E5F82,20250219091206,867,107031,40115,,1768,bd02a605fef24de9ad681191e233403b,7323957321562,Jerry,Michael,Flores
896,Pay Bill,9B95BE18B6,20250130205443,714,107031,57964,,1827,,6744675744146,Alicia,Alicia,Phillips
897,Buy Goods,3B8EED903B,20250112084554,95,107031,95497,,1514,2e5433559cad4ce09ca7f9b0ac6dba23,7578355797193,David,Jonathan,Gardner
898,Pay Bill,FBDB73FF37,20250306084001,103,107031,80190,,4969,746bc64d734e449d89ff0853827444fe,6849777461451,Jennifer,Debra,Perry
899,Pay Bill,7AC13648CD,20250113102758,54,107031,91145,,1576,b84ad61ff5c94b909f7876bfdc3264cc,0159990144859,Julia,Matthew,Mayer
900,Pay Bill,630A12A724,20250114192542,723,107031,41672,,3138,,9198685169472,Jacqueline,Jasmin,Robinson
901,Buy Goods,7D43CC98FF,20250322101355,907,107031,66037,,1615,a5fc315e93b641beb0b71ff9a48fadd6,2549298211181,Holly,Ryan,Anderson
902,Buy Goods,765B45FFEA,20250409185513,304,107031,55257,,3494,b4eac9ae0d7b4c669d094f11a4dc37e2,4885785802409,Tracy,Evelyn,Gonzalez
903,Buy Goods,8B47C1118D,20250327181508,472,107031,37887,,4646,b3998b3baad247a1955188e7121355d3,2041481671166,Elizabeth,Andrew,Kennedy
904,Pay Bill,E6DDDED2BE,20250305085524,900,107031,70340,,3074,e54e5061b92d4f17b6aa06de4f952d9e,2170025576195,Trevor,Connie,Floyd
905,Buy Goods,40F6244DFD,20250325085406,254,107031,62614,,3639,af66e7a563984720ab076ef787b757cf,3929136684610,Vincent,William,Vincent
906,Pay Bill,B4C30AE87D,20250221102434,174,107031,27377,,4728,878bb44b1f5a462696d1b3f98ff2b7d6,9836589732280,Nicole,Gerald,Martinez
907,Buy Goods,06124EA4A1,20250129081042,247,107031,10609,,4285,d8db5acfca4a4a2c92914bdc70f62a3e,5992387312246,Colleen,Christopher,Pearson
908,Buy Goods,737C8DD492,20250327180455,710,107031,55524,,4287,7133b2a322b743d7bb9b441ce12ece0b,7727345780042,Nicholas,,Allen
909,Pay Bill,B0ADB046CF,20250208203039,808,107031,32291,,2744,732d3c74ee634c4eaa5e3c49d1840575,7675667210139,Rachel,,Jackson
910,Buy Goods,15029E29D4,20250312081854,557,107031,58869,,4517,1b3732e11f614aefacc8d14949614572,2869932187643,Justin,,King
911,Pay Bill,B0BC43D435,20250209105436,713,107031,10097,,2477,22251fa5dbb74191a82d763c934b4dde,3868315518393,Karen,Roberto,Rangel
912,Pay Bill,A31F06C554,20250412205621,41,107031,,,2380,,9815550139512,Alyssa,Tracey,Sanchez
913,Buy Goods,B5E03187D1,20250208094843,812,107031,,,3480,4825bd1c7c2c458fa801c342bc24d6bd,1676884647310,Benjamin,Jill,Solis
914,Buy Goods,41C1F9669D,20250103081300,723,107031,42678,,3915,edf954a9f11e473fa3970cdd1652473b,7631608477839,Kathleen,Erika,Watson
915,Buy Goods,DE6458CF5D,20250405081031,564,107031,33963,,3697,38eaa93ef5d04b0f9c2d22c8d1d3fce1,6297569725637,Audrey,Tamara,Hogan
916,Pay Bill,E250F77E09,20250329192448,858,107031,15066,,2549,fc4374a24517473c85418fc400df6ed2,9669085611070,Rebecca,Spencer,Chapman
917,Pay Bill,398A81D3C1,20250119083842,453,107031,65539,,4480,e8c131083746492da1e6801afc2c91f8,9034744942780,Laura,Julie,Wolfe
918,Buy Goods,949FD0A765,20250306204944,406,107031,53593,,4975,b300a2c0ba6549fbafe5992da9efecad,2549298211181,Holly,Ryan,Anderson
919,Pay Bill,6C1A1D7966,20250211105311,119,107031,51070,,3284,116f73474c584c9aa2f09dbed3655a96,2869932187643,Justin,,King
920,Pay Bill,8260D9EC91,20250210190242,155,107031,70864,,2525,57bd9bf6245a45b0bba75e15d309ceae,6114082089260,Nicholas,,Richardson
921,Pay Bill,686584534B,20250112214822,153,107031,33173,,4890,f60680add720459eb5f349d5d439b91a,4414244968189,Jessica,Brian,Rojas
922,Buy Goods,5DE3217FD3,20250313080209,216,107031,29757,,4485,fdcbb15630d1468c928b3e8548f84310,9034744942780,Laura,Julie,Wolfe
923,Buy Goods,0986DE9D22,20250114081325,601,107031,,,1818,c89562412675425fb7009a25dc67ec46,2654856132411,Alexis,,May
924,Buy Goods,8640DDD340,20250330082310,658,107031,86007,,2975,c8d41c35afa64361886b660e09607a2a,8288768005319,Isaac,Rebecca,Allen
925,Buy Goods,CAAE4C95B3,20250311092952,802,107031,38805,,1214,382773b95b264a948accde99a4998f51,3923484006022,Jonathan,Sarah,Simmons
926,Buy Goods,30E65FD820,20250305103641,350,107031,,,4412,db6725165539436da64b8fbd584b4ee9,2041481671166,Elizabeth,Andrew,Kennedy
927,Pay Bill,3E2796DCCC,20250330204125,175,107031,74720,,2978,ff516345fefa4328b80055e7ef28ffe1,9960016016079,Danielle,Paul,Cortez
928,Buy Goods,90B39A504D,20250313191913,805,107031,34672,,1639,d1b484a298464d4e8ef623f4a8eb68da,2869932187643,Justin,,King
929,Pay Bill,8B76A48628,20250203084617,624,107031,79414,,1863,,9314380640855,Paul,Lauren,Rivera
930,Buy Goods,40EA2DE98D,20250222100558,314,107031,53193,,3029,4a72ecadb4614121b9b2646c4b08c058,9415268880909,Frances,Rhonda,Cunningham
931,Buy Goods,D0B9049E38,20250211091113,797,107031,91362,,4085,42bf5c1753ee44d985d8a67005b4e097,4853843976807,Gabriel,Shannon,Smith
932,Pay Bill,84EF437421,20250301182320,859,107031,69564,,3388,d560dfd1f9234528874308d5b6680e95,7675667210139,Rachel,,Jackson
933,Pay Bill,32E6907904,20250202185843,745,107031,61981,,1611,268dd2e07f114829b79d7f2d494d6d10,0203753544868,Crystal,Jenna,Garrett
934,Pay Bill,4C1821DB66,20250224102929,662,107031,,,4213,cd2a4eb3ddc54046bc2061fef34694b7,5730647616446,Daniel,Ryan,Smith
935,Buy Goods,72A1D2B6F5,20250122205313,379,107031,40707,,4474,6544f836ed044bbca7c102bd36fc8f38,9815550139512,Alyssa,Tracey,Sanchez
936,Buy Goods,80A16934E9,20250111200136,541,107031,55075,,4187,d63fb4d92a114a089cd1214f6fc2c055,1182838662093,Tammy,,Walker
937,Pay Bill,E9CC5C9DA2,20250224193049,684,107031,28415,,2600,e849f4d2367d4db6b8027f2c4a37761c,2869932187643,Justin,,King
938,Pay Bill,9A0A10B18C,20250208103804,378,107031,72916,,4332,8fd33d3cbfa44d8c99ccf4924911b178,9960016016079,Danielle,Paul,Cortez
939,Pay Bill,B39EC17E9C,20250101104401,27977,107031,39846,,4245,d112993637ea405eb5babc1c0afbd883,3923484006022,Jonathan,Sarah,Simmons
940,Pay Bill,E1FA710E78,20250403204310,435,107031,43934,,4901,bed6cd6091a348ff8059695cdcf52d2f,7805578349529,James,Ashley,Garza
941,Pay Bill,B4F63A5350,20250323085705,934,107031,48923,,1655,2ff394b57af445a4854b7c6178f79c43,8288768005319,Isaac,Rebecca,Allen
942,Buy Goods,1ACE496725,20250115082529,453,107031,,,4031,b04d5f0aa70d42a98522963885b0c6f7,2869932187643,Justin,,King
943,Pay Bill,C0E3FA3E6D,20250224182616,435,107031,19955,,1798,b0e236560d454dda8f0d701eccf108bb,3050577625383,Katherine,,Rogers
944,Buy Goods,A60731B0AE,20250205194509,934,107031,93579,,3686,071283dc2af94c3d8a61531e0c33c3c8,7675667210139,Rachel,,Jackson
945,Buy Goods,4459226F02,20250111195025,23752,107031,94623,,2632,94a1a2daef014e609454c0b84f799c0c,7567745574928,Jason,,Kelly
946,Buy Goods,389A56FBB8,20250117104044,994,107031,,,4545,e6d77942f50c447d99a3da48d3eb2d21,0553284543897,Cameron,,Brewer
947,Buy Goods,38D248E5A9,20250110080235,295,107031,87682,,4881,f38ae90240364905b161126f23f8e129,8882667309341,Ryan,Chloe,Garcia
948,Buy Goods,E5012053A8,20250106192149,614,107031,88413,,1603,,6670562303709,Justin,Jenna,Stewart
949,Buy Goods,BFB5A1D152,20250320214248,266,107031,97371,,2448,00c9d7466be14006ab2b8034ce6e17ff,2059798017379,Emily,Rodney,Kelley
950,Buy Goods,4F725B92FB,20250109104456,469,107031,,,3134,28717e42443146c89fd66cd596af04a0,2059798017379,Emily,Rodney,Kelley
951,Buy Goods,FC391D3799,20250316101848,226,107031,74801,,2385,024f82f4ac3c4718a6b8637ab0ba3f62,0293085650755,Martin,,Moreno
952,Buy Goods,C543924657,20250207192227,88,107031,48299,,2347,6274db6be792487f89ba27240225a586,3929136684610,Vincent,William,Vincent
953,Pay Bill,F7F0277537,20250218092651,770,107031,33708,,4423,14388dc254d441e5a8aba135a6e05c2b,8487527320502,Richard,Kimberly,Mckay
954,Buy Goods,1E6AEB7445,20250102093516,808,107031,66068,,3479,b885ff189fdf4e649dce247cbaa8e5b0,4414244968189,Jessica,Brian,Rojas
955,Pay Bill,A347FC788D,20250413181850,300,107031,46044,,4130,3814b512156040cd8b3db5988cf5f403,8913256242102,Meagan,,Harris
956,Buy Goods,946D3D5548,20250331103043,598,107031,64501,,2475,0a5fe54a8adb4953a87f5cef622a3516,9960016016079,Danielle,Paul,Cortez
957,Pay Bill,65F8F62242,20250104081612,13,107031,38401,,3439,713269e329884b74813146cd0cd63809,7914489066083,Denise,Donald,Hernandez
958,Pay Bill,C1DF2A29B8,20250402090125,193,107031,62466,,1268,7f8b108555494f46bb7f479972522490,9564393433601,Garrett,,Hughes
959,Buy Goods,6D51CD6D3F,20250101184819,204,107031,14347,,4756,2a601ec6fbb8482ea75459f6befca938,6373702577355,Debra,,Edwards
960,Buy Goods,2BA705B59A,20250201081019,493,107031,76377,,2096,4a251cf1fd4d4186837c22dcd15b23a2,2869932187643,Justin,,King
961,Pay Bill,C0D058081E,20250115185139,610,107031,92261,,2151,bb4618aa364346588a9ad1f61da39226,1522753145604,Timothy,Jermaine,Hayes
962,Buy Goods,47EBC92C25,20250408195326,142,107031,43451,,2235,e8f868625ef74bedbaaf9931d54d5f72,2643199868375,Erica,Angela,Dorsey
963,Buy Goods,672960B0F5,20250222081609,35209,107031,44596,,2483,f10ac932ee484ad7ba718f7f07f16e53,1781931993340,Alicia,Nancy,Cervantes
964,Buy Goods,C8D47256E8,20250103211717,131,107031,56096,,3237,b3e121ce806a44cd8efa4b75c1d6dc2c,9836589732280,Nicole,Gerald,Martinez
965,Pay Bill,776611061C,20250309203346,695,107031,54704,,2971,e66503c80e1a45cb9b9b1be7a0da55ce,5945015889888,Melissa,,Larsen
966,Pay Bill,4B16EDCECC,20250129104816,803,107031,20934,,3179,,8523637356867,Janet,Rita,Collins
967,Buy Goods,6F4D0883BF,20250117101516,894,107031,28512,,3197,d7dfbdb40ec64d2ea4a5b2fd0abbe2a3,9314380640855,Paul,Lauren,Rivera
968,Buy Goods,D5DC9085DC,20250309210116,256,107031,18831,,4190,fdbce0e1dc284c6abc042cf98d9394c2,2059798017379,Emily,Rodney,Kelley
969,Buy Goods,15C91DAE9D,20250118083014,474,107031,87223,,4856,5930484366964a46bc7815f012557bab,7675667210139,Rachel,,Jackson
970,Pay Bill,CDC6A06F64,20250313190410,700,107031,19953,,4660,948e3c34cc974760945426ae3e99d126,0846050404154,William,Amanda,Berry
971,Buy Goods,A521F6EF7F,20250119204827,641,107031,20527,,4158,b286c5fbdfd244dbad4d1d6bdd486811,7041212579209,Heather,,Johnson
972,Pay Bill,4386A826C4,20250403085911,100,107031,93188,,2182,8b2f4cd4bbee4ffb9c544f0544a5da00,9960016016079,Danielle,Paul,Cortez
973,Pay Bill,EF1CB50CB6,20250205190850,159,107031,31929,,4215,a9d7cd40782d48b48143af30904d06dc,8350312895904,Rachel,,Johnson
974,Buy Goods,77F04BAB1C,20250314101130,187,107031,,,4101,72f0caa823a2412abec20aee2f514306,9897460140176,Julie,,Galvan
975,Buy Goods,0BD2472B2E,20250102195643,89,107031,72371,,2535,4677bf7c78a149f4916b47eb4280bcfe,5730647616446,Daniel,Ryan,Smith
976,Buy Goods,C9A5414AD2,20250112083403,622,107031,13009,,1402,,0539114309116,Amy,Cody,Baker
977,Pay Bill,DE36926EB8,20250308193527,25554,107031,27107,,3351,eb652f19544f4b37bd3432c27d9f6d87,6375143848234,Christina,,Scott
